"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"616","THREE1989",48373,42,1,"j-dance","japanese r&b","japanese soul",NA,NA,NA,NA,NA,NA,NA,"43pUK083tLA3lk3JQr5ATn"
"617","Thundercat",670236,72,1,"afrofuturism",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4frXpPxQQZwbCu3eTGnZEw"
"618","Tokimeki Records",6113,45,1,"city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"73vrL9RiKlSaQFo2izavC1"
"619","TOKU",2258,25,1,"japanese vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5PKGGjmxe8c0uWQSJlhL2q"
"620","Tomoyo Harada",43256,42,1,"anime score","japanese jazz","shibuya-kei",NA,NA,NA,NA,NA,NA,NA,"6tl1VDtemwax4iIKxqekK1"
"621","Tones And I",2552747,82,1,"australian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,"2NjfBq1NflQcKSeiDooVjY"
"622","Travis Scott",14783917,94,1,"rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0Y5tJX1MQlPlqiwlOH1tJY"
"623","Trevor Rich",276,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6QhPWkWn4HiqXP9b3OMLKI"
"624","Trouble Maker",176641,47,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0ztjVBmFk6OuHq6XBBwMI9"
"625","TSUBOI",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5zfK3Q7rKgCvQ6r21YCbUG"
"626","Twista",670589,70,1,"chicago rap","dance pop","dirty south rap","gangster rap","hip hop","pop rap","rap","trap","urban contemporary",NA,"6vbY3hOaCAhC7VjucswgdS"
"627","UA",95877,41,1,"j-rock","japanese singer-songwriter","shibuya-kei",NA,NA,NA,NA,NA,NA,NA,"43XHGbWVe5qKVCuI0HMep0"
"628","Uesaka Sumire",449,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63PT4czD5rzc6AEMCEryl5"
"629","Ugly Duck",5329,53,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0Qr4St9aCOLu41Nt5QZIz1"
"630","Upstates",11937,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3vFCgxYcaQ5iBPavzd6bqH"
"631","Utae",507,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30aaJCBZ3WASNcbq27Z3MG"
"632","Vandesande",71,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1XQTSZlJDmxoGzS1DeIzUm"
"633","Victoria Monét",283666,67,1,"alternative r&b","chill r&b","dance pop","indie r&b","pop","pop r&b","pop rap","post-teen pop","r&b","urban contemporary","63XBtGSEZINSyXylZxEUbv"
"634","WagakkiBand",197135,53,1,"idol rock","kawaii metal","oriental metal","shamisen",NA,NA,NA,NA,NA,NA,"3PzqP5IkpLhlSdZLh7jwPn"
"635","WAKUSEI ABNORMAL",3623,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1MeQhADFeadgcic2GpcND1"
