Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
PSY,1143142,63,2,k-pop,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,2dd5mrQZvg6SmahdgVKDzh
Pusha T,1890150,74,2,alternative hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop,NA,0ONHkAv9pCAFxb0zJwDNTy
Rick Ross,4545618,82,2,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,NA,NA,NA,1sBkRIssrMs1AbVkOJbc7a
Rosy,4914,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2wMzCCeiXSV9NFSzGzwVyv
Santana,1875566,73,2,blues rock,classic rock,mexican classic rock,rock,NA,NA,NA,NA,NA,NA,6GI52t8N5F02MxU0g5U69P
ScHoolboy Q,3501872,78,2,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,NA,NA,NA,5IcR3N7QB1j6KBL8eImZ8m
SE SO NEON,50651,47,2,k-indie,korean city pop,korean indie rock,NA,NA,NA,NA,NA,NA,NA,07OePkse2fcvU9wlVftNMl
Shakira,20759022,87,2,colombian pop,dance pop,latin,latin pop,pop,NA,NA,NA,NA,NA,0EmeFodog0BfCgMzAIvKQp
So!YoON!,14595,49,2,k-indie,korean indie rock,NA,NA,NA,NA,NA,NA,NA,NA,7H5EC2qaylGun66YeRrVHg
SOPHIE,219703,56,2,art pop,dance pop,deconstructed club,electropop,escape room,hyperpop,pop,transpop,NA,NA,5a2w2tgpLwv26BYJf2qYwu
STUTS,54620,49,2,j-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0qC4CNzOUtgdmdVzRqCa1d
SUMIN,21447,51,2,k-indie,korean city pop,korean electropop,korean r&b,NA,NA,NA,NA,NA,NA,0K4MGKGmjtdIE0W3GkGmyU
Summer Soul,18542,40,2,k-indie,korean electropop,korean r&b,NA,NA,NA,NA,NA,NA,NA,6ZDL9IVLcZPApjoBdajrao
T-Pain,3068011,81,2,dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,NA,3aQeKQSyrW4qWr35idm0cy
Tame Impala,4600340,83,2,australian psych,neo-psychedelic,NA,NA,NA,NA,NA,NA,NA,NA,5INjqkS1o8h1imAzPqGZBb
TCY FORCE,1846,32,2,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,1ze8z08s9wniPnN6WI2sHe
Tech N9ne Collabos,318589,57,2,country rap,kansas city hip hop,NA,NA,NA,NA,NA,NA,NA,NA,4UOlRVifrFdQHW9qu5ep8t
The Geek x Vrv,36491,48,2,chillhop,new french touch,NA,NA,NA,NA,NA,NA,NA,NA,4JhjlqgMbd4RlrT81VoTIF
The Quiett,55585,53,2,k-rap,korean r&b,korean trap,NA,NA,NA,NA,NA,NA,NA,2qI1pO64eYqGUiv1XTw4cy
The Weeknd,28163888,96,2,canadian contemporary r&b,canadian pop,pop,NA,NA,NA,NA,NA,NA,NA,1Xyo4u8uXC1ZmMpatF05PJ
Travis Barker,274915,77,2,rap rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,4exLIFE8sISLr28sqG1qNX
Travis Scott,14898828,94,2,rap,slap house,NA,NA,NA,NA,NA,NA,NA,NA,0Y5tJX1MQlPlqiwlOH1tJY
Ty Dolla $ign,3649740,89,2,pop rap,r&b,trap,trap soul,NA,NA,NA,NA,NA,NA,7c0XG5cIJTrrAgEC3ULPiq
uju,2350,22,2,korean city pop,korean electropop,NA,NA,NA,NA,NA,NA,NA,NA,6g2HsIivvQ7UGirVhksd92
Vince Staples,1259579,72,2,conscious hip hop,escape room,hip hop,rap,underground hip hop,NA,NA,NA,NA,NA,68kEuyFKyqrdQQLLsmiatm
Xin Seha,1728,15,2,k-indie,NA,NA,NA,NA,NA,NA,NA,NA,NA,4kuTWggHz7FWxKVh3hdqA5
Yerin Baek,202510,64,2,k-indie,k-pop,korean pop,NA,NA,NA,NA,NA,NA,NA,6dhfy4ByARPJdPtMyrUYJK
Zion.T,403878,61,2,k-indie,k-pop,k-rap,korean pop,korean r&b,NA,NA,NA,NA,NA,5HenzRvMtSrgtvU16XAoby
ខេង ឌីយ៉េ​,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5h2lq2sfNkZXYQa52uFf3C
រស់ សេរីសុទ្ធា,376,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2imuveF0NJ0LxagaolBV4j
ぬいぐるみクレヨン Lush Crayon,1921,34,1,future funk,hardvapour,vaporwave,NA,NA,NA,NA,NA,NA,NA,62v3nR2gE0z1AFSFHxKepe
ネクライトーキー,53856,46,1,japanese alternative rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,45ew0KWgCA7evVgCydrZws
山田将司,11,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2UFVsu869tRKjklqkM9Uto
民謡クルセイダーズ,34,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3uiPsc4PufUpYHoxnOlMyE
秋元薫,11739,49,1,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,4LUn6its1opwPzxJC1RM72
笠井 紀美子,1946,30,1,classic japanese jazz,japanese vocal jazz,NA,NA,NA,NA,NA,NA,NA,NA,4UgoOhsP6AlN1SIkFRBCit
박혜진 Park Hye Jin,50688,53,1,korean dream pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6niigcazB2JPcpasZfZvq1
현성민,442,10,1,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,47kUNrAocpuIOvyRHpfwxB
015B,14287,45,1,k-indie,korean electropop,korean pop,NA,NA,NA,NA,NA,NA,NA,4uU7KfTjcjyKUGWSaTzLu7
03 Greedo,245798,69,1,cali rap,melodic rap,trap,underground hip hop,vapor trap,NA,NA,NA,NA,NA,0FtsMKmZEq8fBWqdSOWtqp
1 Young Micah,1626,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2fixd2SK0VpJfHW0SUWFY9
187,228,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6pPXsk0pYVptgNUe3AYbyC
3 Mill Rod,303,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37BsV1JuDDXMnxpzO0aSMq
4Minute,861059,55,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,6cdC1cwqh3eJAXaxXJt2jv
88rising,625685,72,1,asian american hip hop,pop,NA,NA,NA,NA,NA,NA,NA,NA,1AhjOkOLkbHUfcHDSErXQs
AAAMYYY,30971,51,1,japanese alternative rock,japanese electropop,japanese r&b,NA,NA,NA,NA,NA,NA,NA,5YCsKCBbhMHBKBh2MllF5d
Ab-Soul,763019,64,1,alternative hip hop,conscious hip hop,hip hop,rap,southern hip hop,underground hip hop,NA,NA,NA,NA,0g9vAlRPK9Gt3FKCekk4TW
Ace,74,32,1,eurobeat,NA,NA,NA,NA,NA,NA,NA,NA,NA,3ex1w9F7Bx8X69biVeMVLJ
Agents Of Time,32361,41,1,italian techno,NA,NA,NA,NA,NA,NA,NA,NA,NA,6Jbyd4qzEtbFtswZP1o6Ht
Aimee B,156,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1uLk7jpNDdq7qhs5MSqjAS
AiNA THE END,20158,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5k7KS34gxQbzdQaXWSOVKC
Alberto,12872,58,1,polish hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,79b4a4Bg30Y0RlO5de5jni
Alfred Beach Sandal,9425,29,1,japanese soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,1H2KvPR75UUpoQpRcnvn1I
Alton Ellis,78472,54,1,dub,lovers rock,reggae,rock steady,roots reggae,ska,NA,NA,NA,NA,5pryfFgCrWJ41UHaENJPyi
André 3000,178645,63,1,atl hip hop,dirty south rap,southern hip hop,NA,NA,NA,NA,NA,NA,NA,74V3dE1a51skRkdII8y2C6
Anthony Jackson,3775,39,1,electric bass,NA,NA,NA,NA,NA,NA,NA,NA,NA,4jSvNq6yedPhkC4p3zlznC
Anuel AA,16126973,93,1,latin,reggaeton,reggaeton flow,trap boricua,trap latino,NA,NA,NA,NA,NA,2R21vXR83lH98kGeO99Y66
Apathy,66499,53,1,alternative hip hop,hardcore hip hop,underground rap,NA,NA,NA,NA,NA,NA,NA,6fK2hnSgfRPxR6sL975XQS
Apink,838819,61,1,k-pop,k-pop girl group,korean pop,NA,NA,NA,NA,NA,NA,NA,2uWcrwgWmZcQc3IPBs3tfU
Apollo Brown,102561,54,1,alternative hip hop,boom bap,hip hop,underground hip hop,NA,NA,NA,NA,NA,NA,151BUVKmiB9rHDjIkgbeVE
ASH ISLAND,39398,54,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,7IEhlwWQA7pCkEvzwwHehE
Ashley Sorrell,1058,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6ulmSYBgzPCuFauJ0x7ulP
Asuka Saito,737,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0dmbPPUSyliresuzqpQn6g
Audio Push,37963,44,1,deep underground hip hop,pop rap,underground hip hop,NA,NA,NA,NA,NA,NA,NA,3oHjuEyaFp7MddhOXddXbx
AUGUST 08,24701,61,1,la pop,r&b,NA,NA,NA,NA,NA,NA,NA,NA,2iB8eFB6flwQculkUrRssi
Augustus Pablo,63693,50,1,dub,reggae,rock steady,roots reggae,ska,NA,NA,NA,NA,NA,5WwEQwX3ruZofwDDqtOXwI
Ayano Kaneko,62998,50,1,j-indie,j-poprock,j-rock,japanese alternative rock,japanese indie pop,japanese indie rock,NA,NA,NA,NA,4XKIIegkRbSJft0PmMv9NB
Ayumi Hamasaki,522509,60,1,classic j-pop,eurobeat,j-pop,NA,NA,NA,NA,NA,NA,NA,3Mvc8kRgr8LRYYgvFmlZqn
B-Real,63350,59,1,chicano rap,west coast rap,NA,NA,NA,NA,NA,NA,NA,NA,2LiWxiQzuD9nmWQ6NCA8Gd
BABYMETAL,797075,68,1,comic metal,idol rock,j-metal,kawaii metal,NA,NA,NA,NA,NA,NA,630wzNP2OL7fl4Xl0GnMWq
Bananarama,478011,60,1,dance pop,dance rock,disco,europop,girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock,3sc7iUG1Wwpwx7bHeZolgx
Bantu,18080,54,1,zimdancehall,NA,NA,NA,NA,NA,NA,NA,NA,NA,6tt0iYnpHERj05WATWRiom
Barney Bones,650,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7rzyYETlkvNEdxdtSUXXTV
Barrington Levy,170500,59,1,dub,lovers rock,modern reggae,reggae,reggae fusion,roots reggae,NA,NA,NA,NA,5mMuiFhh7faS7qxnTLRA6u
Bassagong,1949,37,1,k-rap,korean indie rock,NA,NA,NA,NA,NA,NA,NA,NA,7j1lNIjZY1E1drWIgJloMs
Beckett,2978,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3ExQw9JJ83HH1JD1RguiV2
Beenzino,94776,51,1,k-indie,k-rap,korean pop,korean r&b,NA,NA,NA,NA,NA,NA,7IrDIIq3j04exsiF3Z7CPg
BehindtheMoon,1211,21,1,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,4BHjuxRl1cKElPbo12BODO
Biesmans,1922,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1RR1AtX6SAujecwlLacHRz
Big-O,34,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3mcLH1WbfyUCNIVSVwGkrX
Big Gigantic,216497,62,1,edm,electronic trap,electropop,vapor twitch,NA,NA,NA,NA,NA,NA,7o7mC95EDbJKTcPAAs8C3r
Big Scoob,71165,48,1,country rap,kansas city hip hop,NA,NA,NA,NA,NA,NA,NA,NA,1PnsxAfjwnxNODAaKTu8VO
bird,30741,36,1,japanese jazztronica,NA,NA,NA,NA,NA,NA,NA,NA,NA,4UYTq2L0l4zfsUKe8BqeNs
Bizarre,245,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7CsMBY0plDn7za12JXMlMg
Black Caviar,33579,63,1,electro house,NA,NA,NA,NA,NA,NA,NA,NA,NA,1wqW0IQWC7V7jktcjVHID6
Black Knights,2738,22,1,wu fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,0AF5FJR5VgrhPw6qcLkEBA
Black Thought,129112,62,1,alternative hip hop,boom bap,east coast hip hop,hardcore hip hop,hip hop,southern hip hop,NA,NA,NA,NA,6DJEUXZm0e2rAohdoZ5Voo
Blackway,14211,61,1,nyc rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,1QvK8bFc2WREH4LDlJcJbi
BlocBoy JB,1229126,68,1,pop rap,rap,southern hip hop,tennessee hip hop,trap,vapor trap,NA,NA,NA,NA,4TEJudQY2pXxVHPE3gD2EU
Blu-Swing,8997,39,1,ambeat,japanese jazz fusion,japanese jazztronica,japanese vocal jazz,NA,NA,NA,NA,NA,NA,3dKCIyXK94LWUnyvD8LepD
BluePrint,687,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0oV5K4BDmoENgjwB8lvDmT
bo en,86803,57,1,experimental pop,glitchcore,hyperpop,NA,NA,NA,NA,NA,NA,NA,1EotkJocwHvhFOAsoOj1jJ
BOBBY,543383,63,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,7ieMQQDR0bdBPz572mtxwS
BREIMEN,5628,30,1,japanese soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,3SasVdv6zvCEY29rst8PBU
Brown Eyed Girls,176273,48,1,k-pop,k-pop girl group,korean pop,NA,NA,NA,NA,NA,NA,NA,2GEPtT5RDxrmdi0A4mbDi7
Busta Rhymes,1698917,76,1,east coast hip hop,hardcore hip hop,hip hop,pop rap,rap,NA,NA,NA,NA,NA,1YfEcTuGvBQ8xSD1f53UnK
Camila Cabello,19762943,86,1,dance pop,electropop,pop,pop dance,post-teen pop,NA,NA,NA,NA,NA,4nDoRrQiYLoBzwC5BhVJzF
Camu Tao,6006,19,1,abstract hip hop,ohio hip hop,NA,NA,NA,NA,NA,NA,NA,NA,202U8PxsU6OaYwOfJCR5ZD
Car,63,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4IwZDPPzFIVVN2DSVudIZO
Casker,11101,30,1,k-indie,korean electropop,NA,NA,NA,NA,NA,NA,NA,NA,0nHPlnFkwhTmnfda7ho0E5
Catz 'n Dogz,32789,47,1,deep disco house,german techno,house,minimal tech house,minimal techno,tech house,NA,NA,NA,NA,5tYqFEuFELxnJZgGmmsfSh
CES Cru,109859,48,1,kansas city hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,7jNpkZ55HFuYxJo6q1qawG
CHANGMO,104981,63,1,k-rap,korean pop,korean r&b,NA,NA,NA,NA,NA,NA,NA,3hvinNZRzTLoREmqFiKr1b
CHANMINA,273113,61,1,j-pop,j-rap,NA,NA,NA,NA,NA,NA,NA,NA,2vjeuQwzSP5ErC1S41gONX
Charisma.com,20368,33,1,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5plo5UwgrFliohBttLzqRr
chelmico,101211,53,1,j-rap,japanese alternative rock,NA,NA,NA,NA,NA,NA,NA,NA,6sAONleCsmAyP87OHsVAPV
Childish Gambino,7385684,81,1,atl hip hop,hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,73sIBHcqh3Z3NyqHKZ7FOL
Chip$,12,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3zP3PBJ5SVfBuYWnzheUHu
Chris Martin,26440,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0LQoZQIV0mIs0y0XQb0Sw2
CHUNG HA,1270874,70,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2PSJ6YriU7JsFucxACpU7Y
CIFIKA,13604,37,1,k-indie,korean electropop,NA,NA,NA,NA,NA,NA,NA,NA,0OK6Xs5X1kHs07y68n65CQ
City Your City,8105,26,1,city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3mZeppCdJVIyGd0yUZsliA
Clio,2891,32,1,italian disco,NA,NA,NA,NA,NA,NA,NA,NA,NA,6YUx1iZjYtiwbDjQLULIHf
Cö Shu Nie,158034,62,1,anime,anime score,j-pixie,j-poprock,otacore,NA,NA,NA,NA,NA,0LlH6J1tj2TPq7AlwXAkY5
CoCo,5462,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6vYKg6TrNVzyWYEcy9vCo0
Colby O'Donis,104366,69,1,pop rap,urban contemporary,NA,NA,NA,NA,NA,NA,NA,NA,7fObcBw9VM3x7ntWKCYl0z
ConsciousThoughts,4236,37,1,future funk,NA,NA,NA,NA,NA,NA,NA,NA,NA,7nNml7OiJoyXojuihNAmDu
Coogie,65580,55,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0IznZPMUyaPGdqfP4oqBja
Cordae,1338930,73,1,dmv rap,hip hop,pop rap,rap,trap,underground hip hop,vapor trap,NA,NA,NA,0huGjMyP507tBCARyzSkrv
Cosmic Boy,14411,46,1,k-indie,k-rap,korean r&b,NA,NA,NA,NA,NA,NA,NA,305pg6Bs6Mz9Tm2zK66psY
Crayon Pop,115698,39,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,0ODX6aegsZkBmBeMA5qqwi
Creepy Nuts,187884,61,1,j-pop,j-rock,NA,NA,NA,NA,NA,NA,NA,NA,0pWR7TsFhvSCnbmHDjWgrE
CTC,238,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1vPHqjdwnm6ZSnILroMcjg
CY8ER,23040,42,1,alt-idol,denpa-kei,idol rock,NA,NA,NA,NA,NA,NA,NA,0Pn9eKty96tdakwQBYPWu7
CyHi The Prynce,155549,55,1,atl hip hop,southern hip hop,trap,NA,NA,NA,NA,NA,NA,NA,18HVMQsV3tINaTyzT5UIjH
Danny Brown,1115,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6pJkhyn8MedLRRl9qZVkWL
DAWN,3950,41,1,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3aB96WIPKUzvJmoctWCrjb
DEAN,958413,67,1,k-pop,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,3eCd0TZrBPm2n9cDG6yWfF
Denaun,197,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1WjexdTcXHgvlVIPCE8D1Q
Denzel Curry,1495460,76,1,dark trap,drill,hip hop,miami hip hop,rap,trap,underground hip hop,NA,NA,NA,6fxyWrfmjcbj5d12gXeiNV
Despot,6191,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53biWpwSE0neKmFFdmpGd1
DEV,237725,65,1,dance pop,electropop,pop dance,post-teen pop,NA,NA,NA,NA,NA,NA,7Ip2u3e5Nv6fFb5xyIHxEE
Dexter Wiggles,138,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0e2dqBGhzJNJQeAjBeZEJp
DIA,126871,44,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,5Pcx98OUnL52aGZRRQx5v8
Dio,1563284,65,1,album rock,classic rock,glam metal,hard rock,metal,power metal,rock,NA,NA,NA,4CYeVo5iZbtYGBN4Isc3n6
DJ Crokey,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21pkHUisQKjMbMLWMemkPM
DJ Djanga,16,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2P2h9aJBely4CLnOpzSE6r
DJ Khalil,4287,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7zfaArteqSs8YgCCmPrDK4
DJLW,44,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7gbbc1jj3M8CgZ0orsQ8vb
DMX,2360398,73,1,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,NA,NA,NA,1HwM5zlC5qNWhJtM00yXzG
Doildosi,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5Amy6cnYJA3kneVZqSTHlX
Doja Cat,5084229,90,1,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,5cj0lLjcoR7YOSnhnX0Po5
Dolly Parton,1333685,78,1,classic country pop,country,country dawn,NA,NA,NA,NA,NA,NA,NA,32vWCbZh0xZ4o9gkz4PsEU
Don Mills,3441,38,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,6bIsFWNkjQvSm5P4rqlxKn
Donutman,4423,35,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,2xH4dYFMVhdOGIhgIWonbc
dosii,14495,43,1,k-indie,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,41lcf5k3PkUdxupYLkcjCd
Dr. Dre,5407005,82,1,g funk,gangster rap,hip hop,rap,west coast rap,NA,NA,NA,NA,NA,6DPYiyq5kWVQS4RGwxzPC7
Drakeo the Ruler,139785,63,1,cali rap,vapor trap,NA,NA,NA,NA,NA,NA,NA,NA,0p4ViyfJUTW0IT4SCBLexf
Duckwrth,236085,69,1,alternative r&b,indie r&b,underground hip hop,NA,NA,NA,NA,NA,NA,NA,6I3MElirhT5t6Kf7p0hGk9
Earl Sweatshirt,1381161,71,1,alternative hip hop,escape room,experimental hip hop,hip hop,rap,underground hip hop,NA,NA,NA,NA,3A5tHz1SfngyOZM2gItYKu
East Frog,249,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1NBzQYaVKtFWXdf8dmQ4Xg
Eco Yard,252,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1F7qPkpPDxKhPjMOh5O7zL
Ed Sheeran,75461473,93,1,pop,uk pop,NA,NA,NA,NA,NA,NA,NA,NA,6eUKZXaKkcviH0Ku9w2n3V
Eek-A-Mouse,170037,52,1,dub,reggae,roots reggae,NA,NA,NA,NA,NA,NA,NA,6xqlgBccdlxUh5DeJSx2ho
Elle Teresa,13745,44,1,j-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,3eP3EbQEnina3kh1UTNvbj
Enjoy Music Club,24045,33,1,j-indie,japanese alternative rock,NA,NA,NA,NA,NA,NA,NA,NA,30TUV9gTBJ8ffWRMe3O2J0
Erika Nishi,1621,28,1,japanese alternative pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,7J7NV5RglXhb1GoGj0sS1R
Estelle,210881,70,1,neo soul,r&b,NA,NA,NA,NA,NA,NA,NA,NA,5T0MSzX9RC5NA6gAI6irSn
Eve,819795,69,1,dance pop,hip hop,hip pop,philly rap,pop rap,r&b,rap,urban contemporary,NA,NA,4d3yvTptO48nOYTPBcPFZC
EVERGLOW,769797,69,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3ZZzT0naD25RhY2uZvIKkJ
Evidence,168,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6CJjWGU8Ea7w333EwmBuxi
Excision,560488,65,1,brostep,canadian electronic,edm,electro house,electronic trap,NA,NA,NA,NA,NA,5FKchcZpQOkqFvXBj1aCvb
Fabienne Debarre,56,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08cjELphN95ioHJdYNLWVX
Fatman Scoop,31983,62,1,nyc rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,15GGbJKqC6w0VYyAJtjej6
FEMM,19416,37,1,j-pop girl group,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,2Mi7J9LAIe6xEzObKt6JHq
Fin.K.L,11721,36,1,k-pop girl group,korean pop,NA,NA,NA,NA,NA,NA,NA,NA,2aRLyjYp7WPr4EkjkI1gvS
Flamingosis,118155,55,1,chillhop,future funk,NA,NA,NA,NA,NA,NA,NA,NA,75cW8FFekyCjj0mfZM1Gfb
Flo Rida,7917664,82,1,dance pop,miami hip hop,pop,pop dance,pop rap,NA,NA,NA,NA,NA,0jnsk9HBra6NMjO2oANoPY
Fort Romeau,29771,44,1,deep house,electronica,float house,microhouse,outsider house,NA,NA,NA,NA,NA,5MKqWyqq5CStK7AhkTvzQF
Freeway,184379,53,1,alternative hip hop,battle rap,gangster rap,hardcore hip hop,hip hop,philly rap,rap,southern hip hop,NA,NA,2Jwr7hGoSNK3S3QBxh3T0z
Friday Night Plans,52472,53,1,city pop,japanese r&b,NA,NA,NA,NA,NA,NA,NA,NA,71YfYiTx6KAZFJfKaNYueQ
Future,9806865,91,1,atl hip hop,pop rap,rap,southern hip hop,trap,NA,NA,NA,NA,NA,1RyvyyTE3xzB2ZywiAwp0i
G-Mo Skee,14972,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1lzI1n7isejxFyXsmO17si
G-Unit,1383751,65,1,gangster rap,hardcore hip hop,hip hop,pop rap,queens hip hop,rap,southern hip hop,trap,NA,NA,6evKD5JWJON3qPBJtUEmtY
Gaeko,55849,58,1,k-rap,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,0tkHE1pQ5ZCgQb8WZ0ba79
Gang Starr,646538,66,1,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,NA,NA,NA,5cMgGlA1xGyeAB2ctYlRdZ
GARNiDELiA,202380,53,1,anime,anime rock,j-pixie,j-poprock,otacore,NA,NA,NA,NA,NA,7MIbdLkqD1qQE35LSISIM6
GAZIROVKA,40056,52,1,russian dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,0PkPqQe8TU96Z8VVXCrZ71
GD X TAEYANG,281194,49,1,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,NA,3HJVw8aEtFqoc3raJVE8am
George Clinton,306645,58,1,funk,p funk,soul,NA,NA,NA,NA,NA,NA,NA,2GVBp7QyHckoOg7rYkLvrA
Gerd Janson,17676,46,1,frankfurt electronic,german house,NA,NA,NA,NA,NA,NA,NA,NA,4jLpm91Tyk2TRgv43bMfZO
GIRIBOY,152293,60,1,k-indie,k-rap,korean r&b,NA,NA,NA,NA,NA,NA,NA,2MtHuR0W2idZdF7x4wddqq
Gizzle,5103,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0xukYGKRRwBWS1N9sfCQoq
Grandmaster Flash,198855,49,1,bronx hip hop,conscious hip hop,east coast hip hop,electro,hip hop,hip house,old school hip hop,rap,turntablism,NA,1JfnADNz5yYEq3hrzlZHLk
Gregory Isaacs,365301,59,1,dub,lovers rock,reggae,roots reggae,NA,NA,NA,NA,NA,NA,6QHu71f8LLeT8n0GzfbYFc
Grimes,1290112,74,1,art pop,canadian electropop,dance pop,electropop,grave wave,hyperpop,indietronica,metropopolis,pop,NA,053q0ukIDRgzwTr4vNSwab
Grizzly,6117,36,1,k-indie,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,5Egus6b1x9pYOnqsG7y1f4
Guapdad 4000,68314,66,1,cali rap,oakland hip hop,scam rap,trap soul,underground hip hop,vapor trap,NA,NA,NA,NA,0NcPKaSNIHAM2RfioH9vMT
Half Mile Beach Club,1098,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7B6BN3NuLRQHD9QMENwB8e
Halley Stella,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7oedM6uZILjuXEMtDkDLzR
Halsey,13658729,89,1,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop,NA,NA,NA,26VFTg2z8YR0cCuwLzESi2
Han Yo Han,14077,44,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0yHrFzi7dWriMWhB5XA99P
