Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Thea Van Seijen,286,22,1,wu fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,48ZI8lhMUQFmOMsegaT1x9
THREE1989,48532,42,1,japanese dance pop,japanese r&b,japanese soul,NA,NA,NA,NA,NA,NA,NA,43pUK083tLA3lk3JQr5ATn
Thundercat,675149,72,1,afrofuturism,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,4frXpPxQQZwbCu3eTGnZEw
Tokimeki Records,6347,46,1,city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,73vrL9RiKlSaQFo2izavC1
TOKU,2272,26,1,japanese vocal jazz,NA,NA,NA,NA,NA,NA,NA,NA,NA,5PKGGjmxe8c0uWQSJlhL2q
Tomoyo Harada,43513,42,1,anime score,japanese jazz,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,6tl1VDtemwax4iIKxqekK1
Tones And I,2567638,82,1,australian pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,2NjfBq1NflQcKSeiDooVjY
Trevor Rich,277,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6QhPWkWn4HiqXP9b3OMLKI
Trouble Maker,177200,47,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,0ztjVBmFk6OuHq6XBBwMI9
TSUBOI,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5zfK3Q7rKgCvQ6r21YCbUG
Twista,672996,70,1,chicago rap,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,trap,urban contemporary,NA,6vbY3hOaCAhC7VjucswgdS
UA,96529,41,1,j-rock,japanese singer-songwriter,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,43XHGbWVe5qKVCuI0HMep0
Uesaka Sumire,451,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63PT4czD5rzc6AEMCEryl5
Ugly Duck,5368,54,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0Qr4St9aCOLu41Nt5QZIz1
Upstates,11941,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3vFCgxYcaQ5iBPavzd6bqH
Utae,514,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30aaJCBZ3WASNcbq27Z3MG
Vandesande,71,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1XQTSZlJDmxoGzS1DeIzUm
Victoria Monét,286532,68,1,alternative r&b,chill r&b,dance pop,indie r&b,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary,63XBtGSEZINSyXylZxEUbv
WagakkiBand,198107,53,1,idol rock,kawaii metal,oriental metal,shamisen,NA,NA,NA,NA,NA,NA,3PzqP5IkpLhlSdZLh7jwPn
WAKUSEI ABNORMAL,3648,24,1,japanoise,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MeQhADFeadgcic2GpcND1
Wale,2939587,77,1,dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,67nwj3Y5sZQLl72VNUHEYE
WEDNESDAY CAMPANELLA,131657,45,1,japanese dance pop,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,0bp9CvkjQYhUJvWRHjFRWI
White Gold,1898,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79KQgTCu4wV38ECYKn62DZ
WJSN,407692,55,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,6hhqsQZhtp9hfaZhSd0VSD
Wonder Girls,385842,54,1,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3Cv2vi3WTl8VZOTdrBkKdM
Woo,59862,55,1,k-indie,k-rap,korean pop,NA,NA,NA,NA,NA,NA,NA,5a8EJtOEbUJDF4RX3mKK02
Wyclef Jean,233679,72,1,rap kreyol,NA,NA,NA,NA,NA,NA,NA,NA,NA,7aBzpmFXB4WWpPl2F7RjBe
XXXTENTACION,24867576,93,1,emo rap,miami hip hop,NA,NA,NA,NA,NA,NA,NA,NA,15UsOTVnJzReFVN1VCnxy4
Yaffle,3401,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2BbGifSrMGEgvUXLypUWzV
YANGHONGWON,29372,46,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SsVqqC31h54Hg08g7uQhM
Yo Gotti,3160866,76,1,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap,NA,6Ha4aES39QiVjR0L2lwuwq
